Number,Name,Type,Total,Hp,Attack,Defense,Sp_atk,Sp_def,Speed,Generation,Legendary,Mythical,Kanto?,Johto?,Kalos?,Galar?,Alola (US/UM)?,Alola (S/M)?,Unova (B2/W2)?,Hoenn?,Sinnoh?,Paldea?,Galar (TCT)?,Unova (B/W)?,Abilities,Tier,Next Evolution(s),Moves
391,Monferno,"Fire, Fighting",405,64,78,52,78,52,81,4,No,No,,,,,,,,,True,,,,"['Blaze', 'Iron Fist']",,['Infernape'],"['Scratch', 'Leer', 'Mach Punch', 'Mach Punch', 'Scratch', 'Leer', 'Ember', 'Ember', 'Taunt', 'Mach Punch', 'Fury Swipes', 'Flame Wheel', 'Feint', 'Torment', 'Close Combat', 'Fire Spin', 'Acrobatics', 'Slack Off', 'Flare Blitz', 'Nasty Plot', 'Facade', 'Flamethrower', 'Assist', 'Blaze Kick', 'Counter', 'Double Kick', 'Encore', 'Fake Out', 'Fire Punch', 'Focus Energy', 'Focus Punch', 'Heat Wave', 'Helping Hand', ""Power'Up Punch"", 'Quick Guard', 'Submission', 'Thunder Punch', 'Covet', 'Dual Chop', 'Endeavor', 'Fire Pledge', 'Fire Punch', 'Focus Punch', 'Gunk Shot', 'Headbutt', 'Heat Wave', 'Helping Hand', 'Iron Tail', 'Low Kick', ""Mud'Slap"", 'Role Play', 'Rollout', 'Sleep Talk', 'Snore', 'Stealth Rock', 'Swift', 'Thunder Punch', 'Vacuum Wave', 'Uproar', 'Work Up', 'Hone Claws', 'Focus Punch', 'Toxic', 'Bulk Up', 'Hidden Power', 'Sunny Day', 'Taunt', 'Protect', 'Frustration', 'Iron Tail', 'Return', 'Dig', 'Brick Break', 'Double Team', 'Flamethrower', 'Fire Blast', 'Rock Tomb', 'Aerial Ace', 'Torment', 'Facade', 'Flame Charge', 'Secret Power', 'Rest', 'Attract', 'Low Sweep', 'Round', 'Overheat', 'Focus Blast', 'Fling', 'Incinerate', 'Endure', ""Will'O'Wisp"", 'Acrobatics', 'Shadow Claw', 'Retaliate', 'Swords Dance', 'Stealth Rock', 'Captivate', 'Rock Slide', 'Work Up', 'Sleep Talk', 'Natural Gift', 'Poison Jab', 'Grass Knot', 'Swagger', 'Sleep Talk', ""U'turn"", 'Substitute', 'Secret Power', 'Rock Smash', ""Power'Up Punch"", 'Confide', 'Cut', 'Strength', 'Rock Smash', 'Rock Climb']"
392,Infernape,"Fire, Fighting",534,76,104,71,104,71,108,4,No,No,,,,,,,,,True,,,,"['Blaze', 'Iron Fist']",UU,[],"['Flare Blitz', 'Scratch', 'Leer', 'Close Combat', 'Close Combat', 'Mach Punch', 'Flare Blitz', 'Scratch', 'Leer', 'Ember', 'Taunt', 'Ember', 'Ember', 'Taunt', 'Mach Punch', 'Fury Swipes', 'Flame Wheel', 'Feint', 'Punishment', 'Close Combat', 'Fire Spin', 'Calm Mind', 'Acrobatics', 'Calm Mind', 'Flare Blitz', 'Torment', 'Slack Off', 'Nasty Plot', 'Facade', 'Flamethrower', 'Assist', 'Blaze Kick', 'Counter', 'Double Kick', 'Encore', 'Fake Out', 'Fire Punch', 'Focus Energy', 'Focus Punch', 'Heat Wave', 'Helping Hand', ""Power'Up Punch"", 'Quick Guard', 'Submission', 'Thunder Punch', 'Blast Burn', 'Covet', 'Dual Chop', 'Endeavor', 'Fire Pledge', 'Fire Punch', 'Focus Punch', 'Gunk Shot', 'Headbutt', 'Heat Wave', 'Helping Hand', 'Iron Tail', 'Low Kick', ""Mud'Slap"", 'Role Play', 'Rollout', 'Sleep Talk', 'Snore', 'Stealth Rock', 'Swift', 'Thunder Punch', 'Vacuum Wave', 'Uproar', 'Work Up', 'Hone Claws', 'Focus Punch', 'Calm Mind', 'Roar', 'Toxic', 'Bulk Up', 'Hidden Power', 'Sunny Day', 'Taunt', 'Hyper Beam', 'Protect', 'Frustration', 'Solar Beam', 'Iron Tail', 'Earthquake', 'Return', 'Dig', 'Brick Break', 'Double Team', 'Flamethrower', 'Fire Blast', 'Rock Tomb', 'Aerial Ace', 'Torment', 'Facade', 'Flame Charge', 'Secret Power', 'Rest', 'Attract', 'Low Sweep', 'Round', 'Overheat', 'Focus Blast', 'Fling', 'Incinerate', 'Endure', ""Will'O'Wisp"", 'Acrobatics', 'Shadow Claw', 'Retaliate', 'Giga Impact', 'Stone Edge', 'Swords Dance', 'Bulldoze', 'Stealth Rock', 'Captivate', 'Rock Slide', 'Work Up', 'Sleep Talk', 'Natural Gift', 'Poison Jab', 'Grass Knot', 'Swagger', 'Sleep Talk', ""U'turn"", 'Substitute', 'Secret Power', 'Rock Smash', ""Power'Up Punch"", 'Confide', 'Cut', 'Strength', 'Rock Smash', 'Rock Climb']"
393,Piplup,Water,314,53,51,53,61,56,40,4,No,No,,,,,,,,,True,,,,"['Defiant', 'Torrent']",LC,['Prinplup'],"['Pound', 'Growl', 'Bubble', 'Water Sport', 'Peck', 'Bubble Beam', 'Bide', 'Bubble Beam', 'Fury Attack', 'Brine', 'Whirlpool', 'Mist', 'Drill Peck', 'Hydro Pump', 'Agility', 'Aqua Ring', 'Bide', 'Double Hit', 'Feather Dance', 'Flail', 'Hydro Pump', 'Icy Wind', 'Mud Sport', ""Mud'Slap"", 'Power Trip', 'Snore', 'Supersonic', 'Yawn', 'Covet', 'Dive', 'Headbutt', 'Icy Wind', ""Mud'Slap"", 'Signal Beam', 'Sleep Talk', 'Snore', 'Stealth Rock', 'Water Pledge', 'Water Pulse', 'Water Pulse', 'Work Up', 'Toxic', 'Hail', 'Hidden Power', 'Ice Beam', 'Blizzard', 'Protect', 'Rain Dance', 'Frustration', 'Return', 'Dig', 'Brick Break', 'Double Team', 'Rock Tomb', 'Aerial Ace', 'Facade', 'Secret Power', 'Rest', 'Attract', 'Brine', 'Round', 'Echoed Voice', 'Scald', 'Fling', 'Quash', 'Endure', 'Stealth Rock', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Grass Knot', 'Swagger', 'Sleep Talk', 'Pluck', 'Substitute', 'Surf', 'Waterfall', 'Secret Power', 'Confide', 'Cut', 'Surf', 'Waterfall', 'Dive', 'Whirlpool', 'Defog', 'Waterfall']"
394,Prinplup,Water,405,64,66,68,81,76,50,4,No,No,,,,,,,,,True,,,,"['Defiant', 'Torrent']",,['Empoleon'],"['Tackle', 'Metal Claw', 'Metal Claw', 'Tackle', 'Growl', 'Bubble', 'Growl', 'Bubble', 'Water Sport', 'Peck', 'Metal Claw', 'Bubble Beam', 'Bide', 'Bubble Beam', 'Fury Attack', 'Brine', 'Whirlpool', 'Mist', 'Drill Peck', 'Hydro Pump', 'Pound', 'Agility', 'Aqua Ring', 'Bide', 'Double Hit', 'Feather Dance', 'Flail', 'Hydro Pump', 'Icy Wind', 'Mud Sport', ""Mud'Slap"", 'Power Trip', 'Snore', 'Supersonic', 'Yawn', 'Covet', 'Dive', 'Headbutt', 'Icy Wind', ""Mud'Slap"", 'Signal Beam', 'Sleep Talk', 'Snore', 'Stealth Rock', 'Water Pledge', 'Water Pulse', 'Water Pulse', 'Work Up', 'Hone Claws', 'Toxic', 'Hail', 'Hidden Power', 'Ice Beam', 'Blizzard', 'Protect', 'Rain Dance', 'Frustration', 'Return', 'Dig', 'Brick Break', 'Double Team', 'Rock Tomb', 'Aerial Ace', 'Facade', 'Secret Power', 'Rest', 'Attract', 'Brine', 'Round', 'Echoed Voice', 'Scald', 'Fling', 'Quash', 'Endure', 'Shadow Claw', 'Stealth Rock', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Grass Knot', 'Swagger', 'Sleep Talk', 'Pluck', 'Substitute', 'Surf', 'Waterfall', 'Secret Power', 'Rock Smash', 'Confide', 'Cut', 'Surf', 'Strength', 'Waterfall', 'Whirlpool', 'Defog', 'Rock Smash', 'Waterfall', 'Dive']"
395,Empoleon,"Water, Steel",530,84,86,88,111,101,60,4,No,No,,,,,,,,,True,,,,"['Defiant', 'Torrent']",UU,[],"['Tackle', 'Growl', 'Aqua Jet', 'Aqua Jet', 'Metal Claw', 'Tackle', 'Growl', 'Bubble', 'Growl', 'Bubble', 'Swords Dance', 'Peck', 'Metal Claw', 'Bubble Beam', 'Swagger', 'Bubble Beam', 'Fury Attack', 'Brine', 'Aqua Jet', 'Whirlpool', 'Mist', 'Drill Peck', 'Hydro Pump', 'Water Sport', 'Bide', 'Pound', 'Agility', 'Aqua Ring', 'Bide', 'Double Hit', 'Feather Dance', 'Flail', 'Hydro Pump', 'Icy Wind', 'Mud Sport', ""Mud'Slap"", 'Power Trip', 'Snore', 'Supersonic', 'Yawn', 'Covet', 'Dive', 'Fury Cutter', 'Headbutt', 'Hydro Cannon', 'Icy Wind', 'Iron Defense', 'Knock Off', ""Mud'Slap"", 'Signal Beam', 'Sleep Talk', 'Snore', 'Stealth Rock', 'Water Pledge', 'Water Pulse', 'Water Pulse', 'Work Up', 'Hone Claws', 'Roar', 'Toxic', 'Hail', 'Hidden Power', 'Ice Beam', 'Blizzard', 'Hyper Beam', 'Protect', 'Rain Dance', 'Frustration', 'Earthquake', 'Return', 'Dig', 'Brick Break', 'Double Team', 'Rock Tomb', 'Aerial Ace', 'Facade', 'Secret Power', 'Rest', 'Attract', 'Round', 'Echoed Voice', 'Steel Wing', 'Brine', 'Scald', 'Fling', 'Quash', 'Endure', 'Shadow Claw', 'Giga Impact', 'Avalanche', 'Swords Dance', 'Bulldoze', 'Stealth Rock', 'Captivate', 'Rock Slide', 'Sleep Talk', 'Natural Gift', 'Grass Knot', 'Swagger', 'Sleep Talk', 'Pluck', 'Substitute', 'Flash Cannon', 'Surf', 'Waterfall', 'Secret Power', 'Rock Smash', 'Confide', 'Cut', 'Surf', 'Strength', 'Waterfall', 'Whirlpool', 'Defog', 'Rock Smash', 'Waterfall', 'Rock Climb', 'Dive']"
396,Starly,"Normal, Flying",245,40,55,30,30,30,60,4,No,No,,,True,,,,,,True,True,,,"['Keen Eye', 'Reckless']",LC,['Staravia'],"['Tackle', 'Growl', 'Quick Attack', 'Wing Attack', 'Double Team', 'Endeavor', 'Whirlwind', 'Aerial Ace', 'Take Down', 'Agility', 'Brave Bird', 'Final Gambit', 'Astonish', 'Detect', ""Double'Edge"", 'Feather Dance', 'Foresight', 'Fury Attack', 'Mirror Move', 'Pursuit', 'Revenge', 'Roost', 'Sand Attack', 'Steel Wing', 'Uproar', 'Air Cutter', 'Endeavor', 'Heat Wave', ""Mud'Slap"", 'Ominous Wind', 'Roost', 'Sleep Talk', 'Snore', 'Swift', 'Tailwind', 'Twister', 'Uproar', 'Work Up', 'Toxic', 'Hidden Power', 'Sunny Day', 'Protect', 'Rain Dance', 'Roost', 'Frustration', 'Return', 'Double Team', 'Aerial Ace', 'Facade', 'Secret Power', 'Rest', 'Attract', 'Thief', 'Round', 'Echoed Voice', 'Work Up', 'Steel Wing', 'Fly', 'Roost', 'Endure', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Swagger', 'Sleep Talk', 'Pluck', ""U'turn"", 'Substitute', 'Secret Power', 'Confide', 'Fly', 'Defog']"
397,Staravia,"Normal, Flying",340,55,75,50,40,40,80,4,No,No,,,True,,,,,,True,True,,,"['Intimidate', 'Reckless']",,['Staraptor'],"['Tackle', 'Growl', 'Quick Attack', 'Quick Attack', 'Wing Attack', 'Double Team', 'Endeavor', 'Whirlwind', 'Aerial Ace', 'Take Down', 'Agility', 'Brave Bird', 'Final Gambit', 'Astonish', 'Detect', ""Double'Edge"", 'Feather Dance', 'Foresight', 'Fury Attack', 'Mirror Move', 'Pursuit', 'Revenge', 'Roost', 'Sand Attack', 'Steel Wing', 'Uproar', 'Air Cutter', 'Endeavor', 'Heat Wave', ""Mud'Slap"", 'Ominous Wind', 'Roost', 'Sleep Talk', 'Snore', 'Swift', 'Tailwind', 'Twister', 'Uproar', 'Work Up', 'Toxic', 'Hidden Power', 'Sunny Day', 'Protect', 'Rain Dance', 'Roost', 'Frustration', 'Return', 'Double Team', 'Aerial Ace', 'Facade', 'Secret Power', 'Rest', 'Attract', 'Thief', 'Round', 'Echoed Voice', 'Steel Wing', 'Fly', 'Roost', 'Retaliate', 'Work Up', 'Endure', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Swagger', 'Sleep Talk', 'Pluck', ""U'turn"", 'Substitute', 'Secret Power', 'Confide', 'Fly', 'Defog']"
398,Staraptor,"Normal, Flying",485,85,120,70,50,60,100,4,No,No,,,True,,,,,,True,True,,,"['Intimidate', 'Reckless']",UUBL,[],"['Tackle', 'Growl', 'Quick Attack', 'Close Combat', 'Close Combat', 'Tackle', 'Growl', 'Quick Attack', 'Wing Attack', 'Quick Attack', 'Wing Attack', 'Double Team', 'Endeavor', 'Whirlwind', 'Aerial Ace', 'Take Down', 'Close Combat', 'Agility', 'Brave Bird', 'Final Gambit', 'Astonish', 'Detect', ""Double'Edge"", 'Feather Dance', 'Foresight', 'Fury Attack', 'Mirror Move', 'Pursuit', 'Revenge', 'Roost', 'Sand Attack', 'Steel Wing', 'Uproar', 'Air Cutter', 'Endeavor', 'Heat Wave', ""Mud'Slap"", 'Ominous Wind', 'Roost', 'Sky Attack', 'Sleep Talk', 'Snore', 'Swift', 'Tailwind', 'Twister', 'Uproar', 'Work Up', 'Toxic', 'Hidden Power', 'Sunny Day', 'Hyper Beam', 'Protect', 'Rain Dance', 'Roost', 'Frustration', 'Return', 'Double Team', 'Aerial Ace', 'Facade', 'Secret Power', 'Rest', 'Attract', 'Thief', 'Round', 'Echoed Voice', 'Steel Wing', 'Roost', 'Retaliate', 'Endure', 'Giga Impact', 'Work Up', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Fly', 'Swagger', 'Sleep Talk', 'Pluck', ""U'turn"", 'Substitute', 'Secret Power', 'Confide', 'Fly', 'Defog']"
399,Bidoof,Normal,250,59,45,40,35,40,31,4,No,No,,,True,,,,,,True,,,,"['Moody', 'Simple', 'Unaware']",LC,['Bibarel'],"['Tackle', 'Growl', 'Defense Curl', 'Rollout', 'Headbutt', 'Hyper Fang', 'Yawn', 'Amnesia', 'Crunch', 'Take Down', 'Super Fang', 'Superpower', 'Swords Dance', 'Amnesia', 'Superpower', 'Curse', 'Aqua Tail', 'Defense Curl', ""Double'Edge"", 'Endure', 'Fury Swipes', 'Mud Sport', 'Odor Sleuth', 'Quick Attack', 'Rock Climb', 'Rollout', 'Skull Bash', 'Sleep Talk', 'Water Sport', 'Aqua Tail', 'Covet', 'Fury Cutter', 'Headbutt', 'Icy Wind', 'Iron Tail', 'Last Resort', ""Mud'Slap"", 'Rollout', 'Shock Wave', 'Sleep Talk', 'Snore', 'Stealth Rock', 'Super Fang', 'Superpower', 'Swift', 'Work Up', 'Toxic', 'Hidden Power', 'Sunny Day', 'Taunt', 'Ice Beam', 'Blizzard', 'Protect', 'Rain Dance', 'Frustration', 'Iron Tail', 'Thunderbolt', 'Thunder', 'Return', 'Dig', 'Shadow Ball', 'Double Team', 'Shock Wave', 'Facade', 'Secret Power', 'Rest', 'Attract', 'Thief', 'Round', 'Echoed Voice', 'Charge Beam', 'Retaliate', 'Endure', 'Thunder Wave', 'Work Up', 'Stealth Rock', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Swords Dance', 'Grass Knot', 'Swagger', 'Sleep Talk', 'Pluck', 'Substitute', 'Secret Power', 'Rock Smash', 'Confide', 'Cut', 'Rock Smash']"
400,Bibarel,"Normal, Water",410,79,85,60,55,60,71,4,No,No,,,True,,,,,,True,,,,"['Moody', 'Simple', 'Unaware']",PU,[],"['Rototiller', 'Tackle', 'Water Gun', 'Water Gun', 'Aqua Jet', 'Rototiller', 'Tackle', 'Growl', 'Growl', 'Defense Curl', 'Rollout', 'Water Gun', 'Headbutt', 'Hyper Fang', 'Yawn', 'Amnesia', 'Crunch', 'Take Down', 'Super Fang', 'Superpower', 'Swords Dance', 'Amnesia', 'Superpower', 'Curse', 'Aqua Tail', 'Defense Curl', ""Double'Edge"", 'Endure', 'Fury Swipes', 'Mud Sport', 'Odor Sleuth', 'Quick Attack', 'Rock Climb', 'Rollout', 'Skull Bash', 'Sleep Talk', 'Water Sport', 'Aqua Tail', 'Covet', 'Dive', 'Focus Punch', 'Fury Cutter', 'Headbutt', 'Icy Wind', 'Iron Tail', 'Last Resort', ""Mud'Slap"", 'Rollout', 'Shock Wave', 'Sleep Talk', 'Snore', 'Stealth Rock', 'Super Fang', 'Superpower', 'Swift', 'Water Pulse', 'Work Up', 'Focus Punch', 'Water Pulse', 'Toxic', 'Hidden Power', 'Sunny Day', 'Taunt', 'Ice Beam', 'Blizzard', 'Hyper Beam', 'Protect', 'Rain Dance', 'Frustration', 'Iron Tail', 'Thunderbolt', 'Thunder', 'Return', 'Dig', 'Shadow Ball', 'Double Team', 'Shock Wave', 'Facade', 'Secret Power', 'Rest', 'Attract', 'Thief', 'Round', 'Echoed Voice', 'Scald', 'Fling', 'Charge Beam', 'Retaliate', 'Endure', 'Giga Impact', 'Thunder Wave', 'Stealth Rock', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Swords Dance', 'Bulldoze', 'Work Up', 'Grass Knot', 'Swagger', 'Sleep Talk', 'Pluck', 'Substitute', 'Surf', 'Waterfall', 'Secret Power', 'Rock Smash', 'Confide', 'Cut', 'Surf', 'Strength', 'Waterfall', 'Whirlpool', 'Rock Smash', 'Waterfall', 'Rock Climb', 'Dive']"
401,Kricketot,Bug,194,37,25,41,25,41,25,4,No,No,,,,,,,,,True,True,,,"['Run Away', 'Shed Skin']",LC,['Kricketune'],"['Growl', 'Bide', 'Struggle Bug', 'Bug Bite', 'Bug Bite', 'Endeavor', ""Mud'Slap"", 'Snore', 'String Shot', 'Uproar', 'Struggle Bug']"
402,Kricketune,Bug,384,77,85,51,55,51,65,4,No,No,,,,,,,,,True,True,,,"['Swarm', 'Technician']",PU,[],"['Growl', 'Fury Cutter', 'Fury Cutter', 'Growl', 'Bide', 'Absorb', 'Fury Cutter', 'Leech Life', 'Sing', 'Focus Energy', 'Slash', ""X'Scissor"", 'Screech', 'Fell Stinger', 'Taunt', 'Night Slash', 'Sticky Web', 'Bug Buzz', 'Perish Song', 'Struggle Bug', 'Bug Bite', 'Bug Bite', 'Endeavor', 'Fury Cutter', 'Heal Bell', 'Hyper Voice', 'Knock Off', ""Mud'Slap"", 'Sleep Talk', 'Snore', 'String Shot', 'Uproar', 'Hone Claws', 'Toxic', 'Hidden Power', 'Sunny Day', 'Taunt', 'Hyper Beam', 'Protect', 'Rain Dance', 'Frustration', 'Return', 'Leech Life', 'Brick Break', 'Double Team', 'Aerial Ace', 'Facade', 'Secret Power', 'Rest', 'Attract', 'Round', 'Echoed Voice', 'False Swipe', 'Endure', 'Silver Wind', 'Giga Impact', 'Flash', 'Swords Dance', 'Captivate', 'Struggle Bug', ""X'Scissor"", 'Infestation', 'Sleep Talk', 'Natural Gift', 'Swagger', 'Sleep Talk', 'Substitute', 'Secret Power', 'Rock Smash', ""Power'Up Punch"", 'Confide', 'Cut', 'Strength', 'Rock Smash']"
403,Shinx,Electric,263,45,65,34,40,34,45,4,No,No,,,,,,,,,True,True,,,"['Guts', 'Intimidate', 'Rivalry']",LC,['Luxio'],"['Tackle', 'Leer', 'Charge', ""Baby'Doll Eyes"", 'Spark', 'Bite', 'Spark', 'Roar', 'Swagger', 'Thunder Fang', 'Crunch', 'Thunder Fang', 'Scary Face', 'Discharge', 'Wild Charge', 'Double Kick', 'Eerie Impulse', 'Fake Tears', 'Fire Fang', 'Helping Hand', 'Howl', 'Ice Fang', 'Night Slash', 'Quick Attack', 'Shock Wave', 'Signal Beam', 'Swift', 'Take Down', 'Thunder Fang', 'Fury Cutter', 'Headbutt', 'Helping Hand', 'Iron Tail', 'Magnet Rise', ""Mud'Slap"", 'Shock Wave', 'Signal Beam', 'Sleep Talk', 'Snore', 'Swift', 'Roar', 'Toxic', 'Hidden Power', 'Light Screen', 'Protect', 'Rain Dance', 'Frustration', 'Iron Tail', 'Thunderbolt', 'Thunder', 'Return', 'Double Team', 'Shock Wave', 'Facade', 'Secret Power', 'Rest', 'Attract', 'Thief', 'Round', 'Charge Beam', 'Endure', 'Flash', 'Volt Switch', 'Thunder Wave', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Swagger', 'Sleep Talk', 'Substitute', 'Wild Charge', 'Secret Power', 'Snarl', 'Confide', 'Strength']"
404,Luxio,Electric,363,60,85,49,60,49,60,4,No,No,,,,,,,,,True,True,,,"['Guts', 'Intimidate', 'Rivalry']",,['Luxray'],"['Tackle', 'Leer', 'Leer', 'Charge', 'Spark', 'Bite', 'Spark', 'Roar', 'Swagger', 'Thunder Fang', 'Crunch', 'Thunder Fang', 'Scary Face', 'Discharge', 'Wild Charge', ""Baby'Doll Eyes"", 'Double Kick', 'Eerie Impulse', 'Fake Tears', 'Fire Fang', 'Helping Hand', 'Howl', 'Ice Fang', 'Night Slash', 'Quick Attack', 'Shock Wave', 'Signal Beam', 'Swift', 'Take Down', 'Thunder Fang', 'Fury Cutter', 'Headbutt', 'Helping Hand', 'Iron Tail', 'Magnet Rise', ""Mud'Slap"", 'Shock Wave', 'Signal Beam', 'Sleep Talk', 'Snore', 'Swift', 'Roar', 'Toxic', 'Hidden Power', 'Light Screen', 'Protect', 'Rain Dance', 'Frustration', 'Iron Tail', 'Thunderbolt', 'Thunder', 'Return', 'Double Team', 'Shock Wave', 'Facade', 'Secret Power', 'Rest', 'Attract', 'Thief', 'Round', 'Charge Beam', 'Endure', 'Flash', 'Volt Switch', 'Thunder Wave', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Swagger', 'Sleep Talk', 'Substitute', 'Wild Charge', 'Secret Power', 'Snarl', 'Confide', 'Strength']"
405,Luxray,Electric,523,80,120,79,95,79,70,4,No,No,,,,,,,,,True,True,,,"['Guts', 'Intimidate', 'Rivalry']",PU,[],"['Electric Terrain', 'Tackle', 'Leer', 'Charge', 'Leer', 'Charge', 'Spark', 'Bite', 'Spark', 'Roar', 'Swagger', 'Thunder Fang', 'Crunch', 'Thunder Fang', 'Scary Face', 'Discharge', 'Wild Charge', 'Electric Terrain', ""Baby'Doll Eyes"", 'Double Kick', 'Eerie Impulse', 'Fake Tears', 'Fire Fang', 'Helping Hand', 'Howl', 'Ice Fang', 'Night Slash', 'Quick Attack', 'Shock Wave', 'Signal Beam', 'Swift', 'Take Down', 'Thunder Fang', 'Fury Cutter', 'Headbutt', 'Helping Hand', 'Iron Tail', 'Magnet Rise', ""Mud'Slap"", 'Shock Wave', 'Signal Beam', 'Sleep Talk', 'Snore', 'Superpower', 'Swift', 'Roar', 'Toxic', 'Hidden Power', 'Hyper Beam', 'Light Screen', 'Protect', 'Rain Dance', 'Frustration', 'Iron Tail', 'Thunderbolt', 'Thunder', 'Return', 'Double Team', 'Shock Wave', 'Facade', 'Secret Power', 'Rest', 'Attract', 'Thief', 'Round', 'Charge Beam', 'Endure', 'Giga Impact', 'Flash', 'Volt Switch', 'Thunder Wave', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Swagger', 'Sleep Talk', 'Substitute', 'Wild Charge', 'Secret Power', 'Snarl', 'Confide', 'Strength']"
406,Budew,"Grass, Poison",280,40,30,35,50,70,55,4,No,No,,,True,True,,,True,,True,,,,"['Leaf Guard', 'Natural Cure', 'Poison Point']",LC,['Roselia'],"['Absorb', 'Growth', 'Water Sport', 'Stun Spore', 'Mega Drain', 'Worry Seed', 'Cotton Spore', 'Extrasensory', 'Giga Drain', 'Grass Whistle', 'Leaf Storm', 'Mind Reader', 'Natural Gift', 'Pin Missile', 'Razor Leaf', 'Seed Bomb', 'Sleep Powder', 'Spikes', 'Synthesis', 'Covet', 'Giga Drain', ""Mud'Slap"", 'Seed Bomb', 'Sleep Talk', 'Snore', 'Swift', 'Synthesis', 'Uproar', 'Worry Seed', 'Toxic', 'Venoshock', 'Bullet Seed', 'Hidden Power', 'Sunny Day', 'Protect', 'Rain Dance', 'Giga Drain', 'Frustration', 'Solar Beam', 'Return', 'Shadow Ball', 'Double Team', 'Sludge Bomb', 'Facade', 'Secret Power', 'Rest', 'Attract', 'Round', 'Energy Ball', 'Endure', 'Flash', 'Swords Dance', 'Psych Up', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Grass Knot', 'Swagger', 'Sleep Talk', 'Substitute', 'Secret Power', 'Nature Power', 'Dazzling Gleam', 'Confide', 'Cut']"
407,Roserade,"Grass, Poison",515,60,70,65,125,105,90,4,No,No,,,True,True,,,True,,True,,,,"['Natural Cure', 'Poison Point', 'Technician']",RU,[],"['Venom Drench', 'Grassy Terrain', 'Weather Ball', 'Poison Sting', 'Mega Drain', 'Magical Leaf', 'Sweet Scent', 'Absorb', 'Growth', 'Stun Spore', 'Leech Seed', 'Grass Whistle', 'Giga Drain', 'Toxic Spikes', 'Ingrain', 'Petal Dance', 'Petal Blizzard', 'Toxic', 'Petal Dance', 'Aromatherapy', 'Synthesis', 'Petal Blizzard', 'Petal Dance', 'Water Sport', 'Worry Seed', 'Bullet Seed', 'Cotton Spore', 'Giga Drain', 'Grass Whistle', 'Leaf Storm', 'Mind Reader', 'Natural Gift', 'Pin Missile', 'Power Whip', 'Razor Leaf', 'Seed Bomb', 'Sleep Powder', 'Spikes', 'Synthesis', 'Extrasensory', 'Covet', 'Fury Cutter', 'Giga Drain', ""Mud'Slap"", 'Seed Bomb', 'Sleep Talk', 'Snore', 'Swift', 'Synthesis', 'Worry Seed', 'Uproar', 'Toxic', 'Venoshock', 'Bullet Seed', 'Hidden Power', 'Sunny Day', 'Hyper Beam', 'Protect', 'Rain Dance', 'Giga Drain', 'Frustration', 'Solar Beam', 'Return', 'Shadow Ball', 'Double Team', 'Sludge Bomb', 'Facade', 'Secret Power', 'Rest', 'Attract', 'Round', 'Energy Ball', 'Endure', 'Giga Impact', 'Flash', 'Swords Dance', 'Psych Up', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Poison Jab', 'Grass Knot', 'Swagger', 'Sleep Talk', 'Substitute', 'Secret Power', 'Nature Power', 'Dazzling Gleam', 'Confide', 'Cut']"
408,Cranidos,Rock,350,67,125,40,30,30,58,4,No,No,,,,,True,True,,,True,,,,"['Mold Breaker', 'Sheer Force']",LC,['Rampardos'],"['Headbutt', 'Leer', 'Focus Energy', 'Pursuit', 'Take Down', 'Scary Face', 'Assurance', 'Chip Away', 'Ancient Power', 'Zen Headbutt', 'Screech', 'Head Smash', 'Crunch', 'Curse', ""Double'Edge"", 'Hammer Arm', 'Iron Head', 'Iron Tail', 'Leer', 'Slam', 'Stomp', 'Thrash', 'Whirlwind', 'Ancient Power', 'Dragon Pulse', 'Earth Power', 'Endeavor', 'Fire Punch', 'Headbutt', 'Iron Head', 'Iron Tail', ""Mud'Slap"", 'Shock Wave', 'Sleep Talk', 'Snore', 'Spite', 'Stealth Rock', 'Superpower', 'Thunder Punch', 'Uproar', 'Zen Headbutt', 'Roar', 'Toxic', 'Hidden Power', 'Sunny Day', 'Ice Beam', 'Blizzard', 'Protect', 'Rain Dance', 'Frustration', 'Smack Down', 'Iron Tail', 'Thunderbolt', 'Thunder', 'Earthquake', 'Return', 'Dig', 'Double Team', 'Shock Wave', 'Flamethrower', 'Sandstorm', 'Fire Blast', 'Rock Tomb', 'Facade', 'Secret Power', 'Rest', 'Attract', 'Thief', 'Round', 'Fling', 'Incinerate', 'Endure', 'Dragon Pulse', 'Payback', 'Rock Polish', 'Stone Edge', 'Swords Dance', 'Bulldoze', 'Stealth Rock', 'Captivate', 'Rock Slide', 'Sleep Talk', 'Natural Gift', 'Swagger', 'Sleep Talk', 'Substitute', 'Secret Power', 'Rock Smash', ""Power'Up Punch"", 'Confide', 'Strength', 'Rock Smash', 'Rock Climb']"
